Year,Month,Day,UFC_Number,Opponent1,Opponent2,PPV
2010,12,11,124,GSP,Koscheck,785000
2011,1,1,125,Edgar,Maynard,260000
2011,2,5,126,Silva,Belfort,725000
2011,2,27,127,Penn,Fitch,260000
2011,3,19,128,Shogun,Jones,490000
2011,4,30,129,GSP,Shields,800000
2011,5,28,130,Rampage,Hamill,325000
2011,6,11,131,Dos Santos,Carwin,330000
2011,7,2,132,Cruz,Faber,320000
2011,8,6,133,Evans,Ortiz,310000
2011,8,27,134,Silva,Okami,335000
2011,9,24,135,Jones,Rampage,520000
2011,10,8,136,Edgar,Maynard,225000
2011,10,29,137,Penn,Diaz,280000
2011,11,19,139,Henderson,Rua,290000
2011,12,10,140,Jones,Machida,480000
2011,12,31,141,Lesnar,Overeem,535000
2012,1,14,142,Aldo,Mendes,215000
2012,2,4,143,Condit,Diaz,400000
2012,2,26,144,Edgar,B.Henderson,325000
2012,4,21,145,Jones,Evans,700000
2012,5,26,146,Dos Santos,Mir,560000
2012,6,23,147,W. Silva,Franklin,140000
2012,7,7,148,Silva,Sonnen,925000
2012,7,21,149,Faber,Barao,230000
2012,8,11,150,B.Henderson,Edgar,190000
2012,9,22,152,Jones,Belfort,450000
2012,10,13,153,Silva,Bonnar,410000
2012,11,17,154,GSP,Condit,700000
2012,12,29,155,JDS,Velasquez,590000
2013,2,2,156,Aldo,Edgar,330000
2013,2,23,157,Rousey,Carmouche,450000
2013,3,16,158,GSP,Diaz,950000
2013,4,27,159,Jones,Sonnen,530000
2013,5,25,160,Velasquez,Bigfoot,380000
2013,6,15,161,Henderson,Evans,140000
2013,7,6,162,Silva,Weidman,550000
2013,8,3,163,Aldo,Jung,180000
2013,8,31,164,B.Henderson,Pettis,270000
2013,9,21,165,Jones,Gustafsson,310000
2013,10,19,166,Velasquez,JDS,330000
2013,11,16,167,GSP,Hendricks,630000
2013,12,28,168,Weidman,Silva,1025000
2014,2,1,169,Barao,Faber,230000
2014,2,22,170,Rousey,McMann,350000
2014,3,15,171,Hendricks,Lawler,300000
2014,4,26,172,Jones,Teixeira,350000
2014,5,24,173,Barao,Dillashaw,215000
2014,6,14,174,Johnson,Bagautinov,115000
2014,7,5,175,Weidman,Machida,545000
2014,8,30,177,Dillashaw,Soto,125000
2014,9,27,178,Johnson,Cariaso,205000
2014,10,25,179,Aldo,Mendes,180000
2014,11,15,180,Werdum,Hunt,185000
2014,12,6,181,Hendricks,Lawler,400000
2015,1,3,182,Jones,Cormier,800000
2015,1,31,183,Silva,Diaz,650000
2015,2,28,184,Rousey,Zingano,600000
2015,3,14,185,Pettis,Dos Anjos,310000
2015,4,25,186,Johnson,Horiguchi,125000
2015,5,23,187,Johnson,Cormier,375000
2015,6,13,188,Velasquez,Werdum,300000
2015,7,11,189,McGregor,Mendes,825000
2015,8,1,190,Rousey,Correia,900000
2015,9,5,191,Johnson,Dodson,115000
2015,10,3,192,Cormier,Gustafsson,250000
2015,11,15,193,Rousey,Holm,1100000
2015,12,12,194,Aldo,McGregor,1025000
2016,1,2,195,Lawler,Condit,300000
2016,3,5,196,McGregor,Diaz,1317000
2016,4,23,197,Jones,St. Preux,322000
2016,5,14,198,Werdum,Miocic,217000
2016,6,4,199,Rockhold,Bisping,320000
2016,7,9,200,Tate,Nunes,1009000
2016,7,30,201,Lawler,Woodley,240000
2016,8,20,202,McGregor,Diaz,1650000
2016,9,10,203,Miocic,Overeem,450000
2016,10,8,204,Bisping,Henderson,290000
2016,11,12,205,McGregor,Alvarez,1300000
2016,12,10,206,Holloway,Pettis,150000
2016,12,30,207,Nunes,Rousey,1100000
2017,2,11,208,Holm,de Randamie,200000
2017,3,4,209,Woodley,Thompson,300000
2017,4,8,210,Cormier,Johnson,300000
2017,5,13,211,Miocic,Dos Santos,300000
2017,6,6,212,Aldo,Holloway,200000
2017,7,8,213,Romero,Whittaker,130000
2017,7,29,214,Cormier,Jones,860000
2017,9,9,215,Nunes,Shevchenko,100000
2017,10,7,216,Ferguson,Lee,200000
2017,11,4,217,Bisping,St. Pierre,875000
2017,12,2,218,Holloway,Aldo,230000
2017,12,30,219,Cyborg,Holm,380000
